Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Landline,Official Fax,Official Mobile,Official Email,Official Address,Official Alternate No,Town,Post Code,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
19897,Abundant Life Clinic,Nyanza,Kisumu,Kisumu East,Winam,Medical Clinic,Private Enterprise (Institution),Nyalenda,Nyalenda A,,KISUMU TOWN EAST,Kisumu Town,2,0,,,,,P.O Box 19207,,Kisumu,40123,Christine Omia,Clinical Officer,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19980,Acacia Clinic (Westlands),Nairobi,Nairobi,Westlands,Kilimani,Medical Clinic,Private Practice - General Practitioner,,,General Accident House 1st floor,WESTLANDS,CBD Nbi,0,0,,,,,,,Nairobi,00100,Dr. Wabwire,Doctor In Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19413,Acacia Medical Centre (Nairobi),Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Practice - General Practitioner,Central,Central,Located at ICEA Bldg(Kenyatta Avenue),STAREHE,City Market,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
14184,Acacia Medicare Centre,Rift Valley,Kajiado,Kajiado North,Ngong,Medical Clinic,Private Practice - Clinical Officer,Ngong Town,Township,,KAJIADO NORTH,Ngong,0,0,,,0723-803853,,,,,,,,N,N,Operational,,,,,,,Y,,Y,,,,,,,,,,,,,
18965,Acc&S Kariua Dispensary,Central,Murang'a,Kandara,Kandara,Dispensary,Christian Health Association of Kenya,Gacharage,Kariua,At Kariua Market ,KANDARA,Kariua,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19467,Access Afya,Nairobi,Nairobi,Makadara,Nairobi South ,Medical Clinic,Private Practice - General Practitioner,Mukuru Nyayo,Mukuru Nyayo,,MAKADARA,S.B Shopping Centre,0,0,,,0713213773,info@accessafya.com,P.O Box 14494,,Nairobi,00100,Caroline Mwakuwa,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12791,Acef Ena Health Centre,Eastern,Embu,Embu East,Runyenjes,Health Centre,Other Faith Based,Kagaari South,Ena,"Along Embu - Meru Road, Ena market before Junction to Ishiara / Karurumo",RUNYENJES,Ena,25,2,06830950,068-41074,0728-884463,syiojin@acef.spn.com,Please specify P.O. Box 1365,,Embu,60100,Robert Njiru Philiph,Clinical Officer,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
11918,ACK Dispensary (Isiolo),Eastern,Isiolo,Isiolo,Central,Dispensary,Christian Health Association of Kenya,West,Bulapesa,,ISIOLO NORTH,Isiolo,2,0,064-52031,064-52160,0722-606180,isiolohealth@yahoo.com,Please specify P.O. Box 110,,Isiolo,60300,Daisy Gatwiri,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
17980,ACK Kanunga Dispensary,Central,Kiambu,Kiambu,Kiambaa,Dispensary,Christian Health Association of Kenya,Kianunga,Ngegu,,KIAMBAA,Kiambu Town,0,0,,,,,,,,,Annae Mutto,Nursing Officer in Charge,N,N/A,Operational,,,,,,,,,,,,,,,,,,,,,,
19651,ACK Mwingi CHBC Clinic,Eastern,Kitui,Mwingi Central,Central,Dispensary,Christian Health Association of Kenya,Mwingi,Mwingi,,MWINGI SOUTH,Mwingi,0,0,,,0727977560,,P.O Box 291,,Mwingi,90400,Lilian Nzambu,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19704,ACK Nyandarua Medical Clinic,Central,Nyandarua,Nyandarua Central,Olkalou,Medical Clinic,Christian Health Association of Kenya,Kaimbaga,Captain,Situated within Captain township 4km from olkalou town towards NRB,OL KALOU,Captain,0,0,,,,,P.O Box 48,,Olkalou,20303,Eliud Mwangi Kithaka,Nursing Officer in Charge,N,N/A,Operational,,,,,,,,,,,,,,,,,,,,,,
17473,ACK Tumaini Medical Clinic,Central,Nyeri,Nyeri Central,Nyeri Municipality,Medical Clinic,Christian Health Association of Kenya,Mukaro,Majengo,,NYERI TOWN,,0,0,,,,,P.O Box 229,,Nyeri,,Jane Mwaita,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
11195,Acode Medical Clinic Maungu,Coast,Taita Taveta,Voi,Voi,Medical Clinic,Private Enterprise (Institution),Maungu,Maungu,,VOI,Maungu,0,0,,,,,P.O Box 18,,Voi,,Sr  Kameru,,N,N,Operational,,,,,,,Y,,,,,,,,,,,,,,,
19520,Aculaser Institute,Nairobi,Nairobi,Westlands,Parklands,Training Institution in Health (Stand-alone),Private Enterprise (Institution),Parklands,,,WESTLANDS,,4,1,,,,,,,,,,,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13266,Adadijolle Dispensary,North Eastern,Wajir,Wajir North,Bute,Dispensary,Ministry of Health,Ogorji,Adadijolle,Bute-Ogorji road,WAJIR NORTH,Adadijolle,0,0,,,,,P.O Box P.O. Box 2,,"Bute, Wajir",07200,,,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
11196,ADC Danisa Dispensary,Coast,Kilifi,Malindi,Lango Baya,Dispensary,Non-Governmental Organizations,Chakama,Kisiki Cha Mgiriama,Along Malindi-Tsavo road next to Next to ADC Galana ranch offices,MALINDI,Lango baya,0,0,00000000,,0712266411,,P.O Box 4,,Malindi,80200,Oscar Kambi,Clinical Officer,N,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13267,Ademasajida Dispensary,North Eastern,Wajir,Wajir West,Ademasajida,Dispensary,Ministry of Health,Ademasajida,Ademasajida,,WAJIR WEST,Griftu,0,0,,,,,P.O Box P.O. Box 13,,Griftu,,BISHARA ABASS,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
11200,Afya Bora Medical Clinic (Malindi),Coast,Kilifi,Magarini,Magarini,Medical Clinic,Private Practice - Nurse / Midwife,Fundi Issa,Marereni,Next to marereni market,MAGARINI,Malindi,0,0,00000000,,000000000,,P.O Box 87,,Gongoni,80206,Julie T. Watto,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,Y,,,,,,,,,,,,,
10007,Afya Bora Medical Clinic (Muchagara),Central,Kirinyaga,Kirinyaga East,Gichugu,Medical Clinic,Private Practice - Nurse / Midwife,Karumande,Thumaita,Situated in Muchagara market along Kianyaga/Kamugunda road,GICHUGU,Muchagara,0,0,,,0718-818852,,P.O Box  29,,Kianyaga,10300,Alice W. Kinjanjui,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
10008,Afya Bora Medical Clinic (Nyeri South),Central,Nyeri,Nyeri Central,Municipality,Medical Clinic,Private Practice - Clinical Officer,Mukaro,Ruringu,Ruringu market,NYERI TOWN,Ruringu,0,0,,,,,P.O Box 12063,,Nyeri,10100,Esther Gachoiri,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
14186,Afya Bora Medical Clinic (Turkana Central),Rift Valley,Turkana,Turkana Central,Central,Medical Clinic,Private Practice - Clinical Officer,Lodwar,Lodwar Town,Kobil - St Kevin secondary school road,TURKANA CENTRAL,Lodwar,0,0,,,0712487614,,,,,30500,Lawrence Lowoko,Hospital Director,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19551,Afya Bora Medical Clinic (Westlands),Nairobi,Nairobi,Westlands,Kangemi,Medical Clinic,Private Enterprise (Institution),Kangemi,,,WESTLANDS,,1,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
11201,Afya Clinic,Coast,Taita Taveta,Wundanyi,Wundanyi,Medical Clinic,Private Enterprise (Institution),Wundanyi,Wundanyi,opposite Barclays bank Wundanyi,WUNDANYI,Wundanyi,0,0,0412004885,04342524,0733781424,stlukesaya.clinic@yahoo.com,P.O Box 1224,0722602259,Wundanyi,80304,Mr C Kalema A Philip,Clinical Officer,N,Y,Operational,,,,,,,Y,,,,,,,,,,,,,,,
14187,Afya Frank Medical Clinic,Rift Valley,Kajiado,Kajiado North,Ngong,Medical Clinic,Private Practice - General Practitioner,Nkaimurunya,Kandisi,,KAJIADO NORTH,Ongata Rongai,0,0,,,0722-793964,Franknjue@yahoo.com,,,,,,,N,N,Operational,,,,,,,Y,,Y,,,,,,,,,,,,,
18486,Afya Health Care,Nairobi,Nairobi,Kasarani,Kasarani,Dispensary,Private Enterprise (Institution),Githurai,Githurai,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",KASARANI,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",0,0,,,0722279095,nteeremutuma@yahoo.com,P.O Box 50248,0706240466,Nairobi,00100,Sammy Mutuma Nteere,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10009,Afya Health Services,Central,Nyeri,Mukurweini,Mukurweini,Medical Clinic,Private Practice - Clinical Officer,Muhito,Gaturia,,MUKURWEINI,Mukurweini Town,0,0,,,,,P.O Box  469,,Mukurweini,10100,Christopher C. Njuguna,Clinical Officer,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18344,Afya House Dispensary,Nairobi,Nairobi,Dagoretti,KNH Golf Course,Dispensary,Ministry of Health,Community,Community,Within Afya House Building,DAGORETI,Community,0,0,0202717077,,,,P.O Box 30016,,Nairobi,00200,Winnie,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
10006,Afya Link Ngurubani Clinic,Central,Kirinyaga,Kirinyaga South,Mwea,Medical Clinic,Private Enterprise (Institution),Tebere,Kiarukungu,Way to D'Cs Office A few Metres turn to your left Web Building,MWEA,Ngurubani,0,0,,,0721923317,,P.O Box 24,0724878105,Kerugoya,10300,Charles Muriithi Mwamba,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18845,Afya Medical Centre,Coast,Mombasa,Kisauni,Kisauni,Medical Clinic,Private Practice - Clinical Officer,Kisauni,Bamburi,Along Karisa Maitha Road at Lake View Estate,KISAUNI,Bamburi,0,0,,,0720137779,stephenmomanyi@ymail.com,P.O Box 85215,,Mombasa,80100,Stephen Momanyi,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10015,Afya Medical Clinic,Central,Kiambu,Thika West,Juja,Medical Clinic,Private Practice - Nurse / Midwife,Juja,Kiaora,Located in Gachororo town,JUJA,Gachororo,0,0,,,0710-921531,,P.O Box 62000,,Nairobi,00200,Zachayo Murage Karimi,Clinical Officer,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
16556,Afya Medical Clinic,Eastern,Meru,Buuri,Timau,Medical Clinic,Private Enterprise (Institution),,,,NORTH IMENTI,,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19621,Afya Medical Clinic (Dandora),Nairobi,Nairobi,Njiru,Dandora,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora 41,Dandora 41 near Equity Bank,EMBAKASI,Dandora 41,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13269,Afya Medical Clinic (Garissa),North Eastern,Garissa,Garissa,Central,Medical Clinic,Private Practice - Clinical Officer,Central,Central,,DUJIS,Garissa,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19802,Afya Medical Clinic (Gwakungu),Central,Nyandarua,Nyandarua North,Ndaragwa,Medical Clinic,Private Practice - Nurse / Midwife,Karagoini,Gwakungu,Situated at gwakungu township,NDARAGWA,Gwakungu,0,0,,,,,,,,,Munene Kabuga,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
11920,Afya Medical Clinic (Kangundo),Eastern,Machakos,Matungulu,Matungulu,Medical Clinic,Private Enterprise (Institution),Matungulu ,Matungulu,,KANGUNDO,Tala,0,0,,,,,,,,,,,N,N,Unknown,,,,,,,,,,,,,,,,,,,,,,
18730,Afya Medical Clinic (Meru),Eastern,Meru,Imenti North,Miriga Mieru West,Medical Clinic,Private Practice - Unspecified,Ntima/Ntakira,,,NORTH IMENTI,,0,0,,,0735593409,,P.O Box 581,,Nkubu,,Charles Ndege,Clinical Officer,N/A,N/A,Operational,,,,,,,,,,,,,,,,,,,,,,
17566,Afya Medical Clinic (Munyaka),Central,Nyandarua,Kinangop,south kinangop,Medical Clinic,Private Practice - Nurse / Midwife,Njabini,Tulaga,Njabini-Olkaou rd at Munyaka Market,KINANGOP,Munyaka,0,0,,,,,P.O Box 218,,South kinangop,,Lucy Chege,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
10010,Afya Medical Clinic (Muranga North),Central,Murang'a,Mathioya,Kangema,Medical Clinic,Private Practice - Nurse / Midwife,Rwathia,Kihoya,Located in Kihoya Market,MATHIOYA,Kihoya,0,0,,,0722223997,,P.O Box 15,,Kihoya,,Charles G. Kingori,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18440,Afya Medical Clinic (Nakuru),Rift Valley,Nakuru,Nakuru,Nakuru Municipality,Medical Clinic,Private Practice - Nurse / Midwife,Bondeni,Manyani,Near Flamingo Nursery School,NAKURU TOWN,Near Flamingo Nursery School,0,0,,,0720503305,,P.O Box 18123,0721920802,Nakuru,20100,Joseph Murithi,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10013,Afya Medical Clinic (Nyeri North),Central,Nyeri,Mathira East,Mathira,Medical Clinic,Private Practice - Clinical Officer,Konyu,Karatina,,MATHIRA,Karatina,0,0,061-72602,,,,P.O Box P.O. Box 1497,,Karatina,10101,Agnes Kogi,,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
10014,Afya Medical Clinic (Nyeri South),Central,Nyeri,Mukurweini,Mukurweini,Medical Clinic,Private Practice - Nurse / Midwife,Rutune,Ngamwa,,MUKURWEINI,Ngamwa,0,0,,,,,,,,,Kanumbi Gatuma,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13270,Afya Medical Clinic (Wajir East),North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),Township,Township,Opposite Sabrin Booking Office,WAJIR EAST,Wajir,0,0,,,0720-444624,,P.O Box 327,,Wajir,70200,Ali Aden,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13466,Agawo Dispensary,Nyanza,Homa Bay,Rachuonyo South,Kasipul,Dispensary,Ministry of Health,East Kamagak,Kachieng,,KASIPUL/KABONDO,Sikri,0,0,,,,,P.O Box 42,,Oyugis,40222,Pamella Randiki,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14190,Agc Baby Health Centre,Rift Valley,Nakuru,Rongai,Ngata,Health Centre,Other Faith Based,Ngata,Ngata,,NAKURU TOWN,Nakuru Town,0,0,,,,,P.O Box P.O. Box 1214,,Nakuru,20100,,,N,N,Operational,,,,,,,,,,,,,Y,,,,,,,,,
13467,Agenga Dispensary,Nyanza,Migori,Nyatike,Nyatike,Dispensary,Ministry of Health,Central Kadem,Kanyor West,,NYATIKE,Agenga,2,0,0729390150,,0729390150,dmohnyatike@gmail.com,Please specify P.O. Box 1,0712716089,Macalder,40400,Nipher Wanyangu,Nursing Officer in Charge,Y,Y,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
15790,Agenga Dispensary (Samia),Western,Busia,Samia,Funyula,Dispensary,Ministry of Health,Agenga,Agenga,"Off Funyula Sio Port Road, Along Mulukhoni Bukiri Road 0 .5 Km",FUNYULA,Mulukhoni Market,0,0,,,,,P.O Box 236,0716253905,Funyula,50406,Asneth Khaimia,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
16452,Agma Clinic,Western,Vihiga,Hamisi,Shaviringa,Medical Clinic,Private Practice - Nurse / Midwife,Shaviringa,Shiru,,HAMISI,Shiru ,0,0,,,,,,,,,Agneta Mahiga,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,,,,,,,,,,
19815,Agro Chemical Dispensary,Nyanza,Kisumu,Muhoroni,Muhoroni,Dispensary,Private Enterprise (Institution),God Nyithindo,Orego,Near Agro Chemical Factory,MUHORONI,Muhoroni Township Market,0,0,,,,,,,18 Agro Chemical Muhoroni,,Isabella Chepgeno,Clinical Officer,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10017,Aguthi Dispensary,Central,Nyeri,Tetu,Tetu,Dispensary,Ministry of Health,Aguthi,Gititu,,TETU,Gititu,0,0,,,0721-327877,,P.O Box P.O. Box 27,,Nyeri,10100,Penina Wachira,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
10018,Ahadi Maternity Services,Central,Kiambu,Lari,Lari,Dispensary,Private Practice - Nurse / Midwife,Lari,Lari,Located in Kagwe shopping centre,LARI,Lari,6,0,,,0720907757,granjuna@yahoo.co.uk,P.O Box 70,0733780252,Kagwe,00223,Grace Njuguna,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
16516,Ahadi Medical Clinic,Coast,Kilifi,Kaloleni,Mariakani,Medical Clinic,Private Practice - Nurse / Midwife,Mariakani,Mariakani,,KALOLENI,Mariakani,0,0,,,0711-981216,,,,Mariakani,80113,Gladness Kupallia,,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
18291,Ahero Medical Centre,Nyanza,Kisumu,Nyando,Nyando,Medical Clinic,Private Practice - Nurse / Midwife,Kakola,Kakola Ahero,Situated in Ahero town on your way to Bunde,NYANDO,Ahero,0,0,,,0738735372,,P.O Box 428,0725703386,Ahero,,Morris Ojowi,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
14191,Ahero Medical Clinic,Rift Valley,Nakuru,Nakuru North,Bahati,Medical Clinic,Private Practice - Nurse / Midwife,Bahati,Ahero,Facility  at Maili Moja Trading Center,SUBUKIA,Mawanga,0,0,,,,,P.O Box 63,,Nakuru,02100,Jane Auma,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13468,Ahero Sub-District Hospital,Nyanza,Kisumu,Nyando,Nyando,Sub-District Hospital,Ministry of Health,Kakola,Kakola Ahero,Kisumu - Nairobi Highway at Ahero town about 22 Kms from kisumu town and about 50 KM from Kericho,NYANDO,Ahero,30,0,,,,aheromedsup@yahoo.com,P.O Box 169,,AHERO,40101,Dr. Florence Akinyi Achungo,Medical Superintendant,Y,Y,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
18804,AHF Soko Clinic,Coast,Mombasa,Kisauni,Kisauni,Medical Clinic,Non-Governmental Organizations,Kongowea,Kongowea,"Along Kongowea-Nyali Road,next to Kongowea Market opposite Kongowea Diesel Point",KISAUNI,Kongowea,0,0,,,,maurine.mutinda@aidshealth.org,P.O Box 103363,,Nairobi,01101,Dr. Maureen Mutinda,Doctor In Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
15791,Ahmadiya Hospital,Western,Kakamega,Mumias,East Wanga,Other Hospital,Other Faith Based,Lubinu,Lubinu,,MUMIAS,Mumias,0,0,,,,,,,Mumias,50198,Dr Iqbal,Doctor In Charge,Y,Y,Operational,,,,,,,Y,,Y,,,,Y,,,,,,,,,
18835,AIC Biribiriet Dispensary,Rift Valley,Trans Nzoia,Trans Nzoia East,Kaplamai,Dispensary,Other Faith Based,Kaplamai,Biribiriet,Along Cherangany road,CHERANGANI,Kachibora,0,0,,,,,P.O Box 1277,,Kitale,30200,Margaret Njeri Njoroge,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12093,AIC Dispensary (Isiolo),Eastern,Isiolo,Isiolo,Central,Dispensary,Christian Health Association of Kenya,East,Wabera,,ISIOLO NORTH,Isiolo,4,4,064-52031,064-52160,0733708896,isiolohealth@yahoo.com,Please specify P.O. Box 262,0723574131,Isiolo,60300,Martha Titus,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
17582,AIC Ebenezer,Rift Valley,Baringo,Baringo Central,Kabarnet,Dispensary,Christian Health Association of Kenya,Ngolong,Ngolong,,BARINGO CENTRAL,Kabarnet,0,0,0,,0722233450,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
10283,AIC Gituru Dispensary,Central,Murang'a,Kandara,Kandara,Dispensary,Christian Health Association of Kenya,Ruchu,Gituru,,KANDARA,Githumu,5,0,,,,,,,,,,Clinical Officer,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
17431,AIC Kalamba Dispensary,Eastern,Makueni,Nzaui,Kalamba,Dispensary,Other Faith Based,Kalamba,Kalamba,off Emali-Wote Road,MAKUENI,Kalamba,0,0,0,0,0,0,P.O Box 9,0,Kalamba,90122/90306,Ruth Musyoka,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
14178,AIC Litein Mission Hospital,Rift Valley,Kericho,Bureti,Bureti,Other Hospital,Other Faith Based,Litein,Litein,located within Litein Township next to Litein High school,BURET,Litein,160,8,0202336460,,0719744560,liteinhospital@gmail.com,P.O Box P.O. Box 200,,Litein,200-20210,Dr  Victor Munala,Medical Superintendant,Y,Y,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
17655,AIC Liten VCT,Rift Valley,Kericho,Bureti,Bureti,VCT Centre (Stand-Alone),Christian Health Association of Kenya,Litein,Litein,,BURET,Litein Town,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12558,AIC Mukaa Dispensary,Eastern,Makueni,Mukaa,Kilome,Dispensary,Christian Health Association of Kenya,Mukaa,Mukaa,Near Kilome Market,KILOME, Nunguni,12,4,0,0,0,0,P.O Box 20,0,Nunguni,09130,Angelina Mungau,Nursing Officer in Charge,Y,Y,Operational,,Y,,,,,Y,,Y,,,,Y,,,,,,,,,
20071,AIC Mununga Dispensary,Central,Murang'a,Kigumo,Kigumo,Dispensary,Christian Health Association of Kenya,Kigumo,Kigumo,,KIGUMO,Kigumo,0,0,,,,,,,,,Kepha Kung'u,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18439,AIC Parkview Dispensary,Rift Valley,Nakuru,Nakuru,Nakuru Municipality,Dispensary,Christian Health Association of Kenya,Kaptembwo,Rhonda,Near Kipanga Market,NAKURU TOWN,Kipanga market,3,1,,,0724957478,,,0721117715,Nakuru,20100,Faith Kinyua,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
20030,Aina Onlus,Eastern,Meru,Tigania West,Uringu,Dispensary,Other Faith Based,Nkomo,Kunene, near Nchiru market along Meru-Kianjai-Maua road,TIGANIA WEST,Nchiru,0,0,,,,,P.O Box 130,,Meru,60200,Catherine Mutiria,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19204,Al - Nasri Medical Care,North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Practice - Clinical Officer,Township,Township,Along Wajir - Garissa Road Opposite Township Primary,WAJIR EAST,Township Primary School,0,0,,,0722162779,,P.O Box 253,,Wajir,70200,Ali Bishar Adan,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18996,Al Amin Medical Clinic,North Eastern,Garissa,Garissa,Central,Medical Clinic,Private Practice - Clinical Officer,,,,DUJIS,,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
