Code,Officialname,Province,County,Sub county,Ward,Facility type,Owner type,,,,Constituency,,,,,,,,,,,,,,Open_whole_day,Open_weekends,Operation status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
13265,Abakore Sub District Hospital,Wajir,Wajir,Wajir South,Habasswein,Primary care hospitals,Ministry of Health,,,,Wajir South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
12864,Abandoned Child Care,Nairobi,Nairobi,Dagoretti South,Uthiru/Ruthimitu,Medical Clinic,Non-Governmental Organizations,,,,Dagoretti South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
19484,Abby Medical Clinic,Nairobi,Nairobi,Westlands,Kangemi,Medical Clinic,Private Practice,,,,Westlands,,,,,,,,,,,,,,Yes,Yes,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
12126,ABC Thange Dispensary,Makueni,Makueni,Kibwezi East,Thange,Dispensary,Faith Based Organization,,,,Kibwezi East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
24214,ABDALLAH & ASSOCIATES DENTAL AND IMPLANT CENTRE,Nairobi,Nairobi,Starehe,Nairobi Central,Dental Clinic,Private Practice,,,,Starehe,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,Y,,Y,,,,Y,,,,,,,,,
17009,Abdisamad Dispensary,Garissa,Garissa,Balambala,Sankuri,Dispensary,Ministry of Health,,,,Balambala,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
20689,Abdiwaqo Dispensary,Wajir,Wajir,Eldas,Della,Dispensary,Ministry of Health,,,,Eldas,,,,,,,,,,,,,,Yes,No,Operational,,,,,,,,,,,,,,,,,,,,,,
10002,Aberdare  Medical & Surgical Clinic,Nyeri,Nyeri,Nyeri South,Iria-ini,Medical Clinic,Private Practice,,,,Nyeri South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
21416,Aberdare Medical Centre Ltd,Muranga,Muranga,Kigumo,Kangari,Medical Clinic,Private Practice,,,,Kigumo,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13461,Abidha Health Centre,Siaya,Siaya,Rarieda,East Asembo,Basic Health Centre,Ministry of Health,,,,Rarieda,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
24008,Abigael Health Care Centre,Uasin Gishu,Uasin Gishu,Kesses,Cheptiret/Kipchamo,Dispensary,Faith Based Organization,,,,Kesses,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
24871,ABISHAG MEDICAL CLINIC,Nyandarua,Nyandarua,Oljoroorok,Weru,Medical Clinic,Private Practice,,,,Oljorook,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
16716,Able Medical Clinic,Kakamega,Kakamega,Shinyalu,Isukha Central,Medical Clinic,Private Practice,,,,Shinyalu,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
23541,Aboge Health Centre,Kisumu,Kisumu,Kisumu West,West Kisumu,Basic Health Centre,Ministry of Health,,,,Kisumu West,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
15789,Aboloi Dispensary,Busia,Busia,Teso North,Ang'urai South,Dispensary,Ministry of Health,,,,Teso North,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,Y,,,,,,,,,
19441,ABRA Health Services,Nairobi,Nairobi,Embakasi East,Upper Savannah,Medical Clinic,Private Practice,,,,Embakasi East,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
19562,Abraham Memorial Nursing Home,Nairobi,Nairobi,Westlands,Kangemi,Nursing Homes,Private Practice,,,,Westlands,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
10004,Abrahams Clinic,Kirinyaga,Kirinyaga,Kirinyaga Central,Inoi,Medical Clinic,Private Practice,,,,Kirinyaga Central,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
21999,ABRAR HEALTH SERVICES-BANISA,Mandera,Mandera,Banissa,Banissa,Medical Clinic,Private Practice,,,,Banissa,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
20524,Absalom Wangulu Dispensary,Kisumu,Kisumu,Nyando,Kobura,Dispensary,Ministry of Health,,,,Nyando,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
19897,Abundant Life Clinic,Kisumu,Kisumu,Kisumu Central,Nyalenda B,Medical Clinic,Private Practice,,,,Kisumu Central,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
23596,Abundant Medical Clinic,Kiambu,Kiambu,Kabete,Kabete,Medical Clinic,Private Practice,,,,Kabete,,,,,,,,,,,,,,Yes,Yes,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
25228,Abuoro Dispensary,Homa Bay,Homa Bay,Ndhiwa,Kanyamwa Kologi,Dispensary,Ministry of Health,,,,Ndhiwa,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
19980,Acacia Clinic,Nairobi,Nairobi,Dagoretti North,Kileleshwa,Medical Clinic,Private Practice,,,,Dagoretti North,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
14184,Acacia Medicare Clinic,Kajiado,Kajiado,Kajiado North,Ngong,Medical Clinic,Private Practice,,,,Kajiado North,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
25052,ACC&S Chomo Community Dispensary,Muranga,Muranga,Gatanga,Gatanga,Dispensary,Faith Based Organization,,,,Gatanga,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
18965,Acc&s Kariua Dispensary,Muranga,Muranga,Kandara,Gaichanjiru,Dispensary,Faith Based Organization,,,,Kandara,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
24937,ACC&S Kigumo Dispensary,Muranga,Muranga,Kigumo,Kigumo,Dispensary,Faith Based Organization,,,,Kigumo,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
19467,Access Afya Kenya Medical Clinic,Nairobi,Nairobi,Starehe,Nairobi South,Medical Clinic,Private Practice,,,,Starehe,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
23850,Access Afya Kiambiu,Nairobi,Nairobi,Kamukunji,Eastleigh South,Medical Clinic,Private Practice,,,,Kamukunji,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
24002,Access Afya Kwa Reuben Clinic,Nairobi,Nairobi,Embakasi South,Kwa Reuben,Medical Clinic,Private Practice,,,,Embakasi South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
24878,Access Afya Mathare,Nairobi,Nairobi,Mathare,Mabatini,Medical Clinic,Non-Governmental Organizations,,,,Mathare,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
21158,Access Afya Medical Centre,Nairobi,Nairobi,Embakasi South,Kwa Reuben,Medical Center,Private Practice,,,,Embakasi South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,Y,,Y,,,,,,,,,
20823,Ace Africa (K) Wellness Centre,Bungoma,Bungoma,Kanduyi,Khalaba,VCT,Non-Governmental Organizations,,,,Kanduyi,,,,,,,,,,,,,,No,No,Operational,,,,,,,Y,,Y,,,,,,,,,,,,,
12791,Acef Ena Health Centre,Embu,Embu,Runyenjes,Kagaari South,Basic Health Centre,Faith Based Organization,,,,Runyenjes,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
11918,ACK Dispensary (Isiolo),Isiolo,Isiolo,Isiolo,Burat,Dispensary,Faith Based Organization,,,,Isiolo North,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
17513,ACK Dr Pike Roper Medical Center,Bungoma,Bungoma,Kanduyi,East Sang'alo,Medical Clinic,Faith Based Organization,,,,Kanduyi,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
24590,ACK Emmanuel Mission Hospital,Kiambu,Kiambu,Kikuyu,Kikuyu,Primary care hospitals,Faith Based Organization,,,,Kikuyu,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
21355,ACK Ikulu Faith Dispensary,Machakos,Machakos,Kangundo,Kangundo North,Dispensary,Faith Based Organization,,,,Kangundo,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
23707,ACK Kaganda Church Dispensary,Muranga,Muranga,Kiharu,Murarandia,Dispensary,Faith Based Organization,,,,Kiharu,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
18964,ACK Leah Njoki Dispensary,Muranga,Muranga,Kiharu,Wangu,Dispensary,Ministry of Health,,,,Kiharu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
19651,ACK Mwingi CHBC Clinic,Kitui,Kitui,Mwingi Central,Central,Medical Clinic,Faith Based Organization,,,,Mwingi Central,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
22609,ACK Nguni Annex Clinic,Kitui,Kitui,Mwingi Central,Nguni,Dispensary,Faith Based Organization,,,,Mwingi Central,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,Y,,,,,,,,,,,
15369,ACK Nturumeti Dispensary,Narok,Narok,Narok East,Mosiro,Dispensary,Faith Based Organization,,,,Narok East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
22303,ACK OTARO COMMUNITY DISPENSARY,Homa Bay,Homa Bay,Homa Bay Town,Homa Bay East,Dispensary,Faith Based Organization,,,,Homa Bay Town,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
24879,ACK St. Stephen's Ralak Medical Clinic,Siaya,Siaya,Ugenya,North Ugenya,Medical Clinic,Faith Based Organization,,,,Ugenya,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
11195,Acode Medical Clinic Maungu,Taita Taveta,Taita Taveta,Voi,Marungu,Medical Clinic,Private Practice,,,,Voi,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
23390,Action Ministry Clinic,Kwale,Kwale,Msambweni,Ramisi,Dispensary,Faith Based Organization,,,,Msambweni,,,,,,,,,,,,,,No,Yes,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
13266,Adadijolle Dispensary,Wajir,Wajir,Wajir North,Bute,Dispensary,Ministry of Health,,,,Wajir North,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
11196,ADC Danisa Dispensary,Kilifi,Kilifi,Magarini,Adu,Dispensary,Non-Governmental Organizations,,,,Magarini,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13267,Ademasajida Dispensary,Wajir,Wajir,Wajir West,Ademasajide,Dispensary,Ministry of Health,,,,Wajir West,,,,,,,,,,,,,,Yes,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
20357,Adenawale Dispensary,Wajir,Wajir,Wajir West,Arbajahan,Dispensary,Ministry of Health,,,,Wajir West,,,,,,,,,,,,,,Yes,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
13463,Adiedo Dispensary,Homa Bay,Homa Bay,Karachuonyo,Kanyaluo,Dispensary,Ministry of Health,,,,Karachuonyo,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
13464,Administration Police Dispensary (Kisumu),Kisumu,Kisumu,Kisumu Central,Railways,Dispensary,Ministry of Health,,,,Kisumu Central,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
18171,Administration Police Senior Staff College Dispensary,Kajiado,Kajiado,Kajiado East,Kenyawa-poka,Dispensary,Ministry of Health,,,,Kajiado East,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,Y,,,,Y,,Y,,,,,,,,,
20479,Adoma Medical Clinic,Migori,Migori,Awendo,Central Sakwa,Medical Clinic,Private Practice,,,,Awendo,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
23590,Adonai Medical Clinic,Kakamega,Kakamega,Shinyalu,Isukha Central,Medical Clinic,Private Practice,,,,Shinyalu,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
22344,Adonai Medical Services,Kiambu,Kiambu,Kiambaa,Ndenderu,Medical Clinic,Private Practice,,,,Kiambaa,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
21294,Adopta Life Foundation (Ruai),Nairobi,Nairobi,Kasarani,Ruai,Medical Clinic,Private Practice,,,,Kasarani,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
24093,Adora Children's Clinic,Kajiado,Kajiado,Kajiado East,Kitengela,Medical Clinic,Private Practice,,,,Kajiado East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
11198,Adu Dispensary,Kilifi,Kilifi,Magarini,Adu,Dispensary,Ministry of Health,,,,Magarini,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
21741,Adungosi Medical Clinic,Busia,Busia,Teso South,Chakol South,Medical Clinic,Private Practice,,,,Teso South,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
14185,Adurkoit Dispensary,West Pokot,West Pokot,West Pokot,Riwo,Dispensary,Ministry of Health,,,,Kapenguria,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
24675,Advent Medicare and Maternity Center,Nakuru,Nakuru,Rongai,Menengai West,Nursing and Maternity Home,Private Practice,,,,Rongai,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
18535,Adventist Centre for Care and Support,Nairobi,Nairobi,Dagoretti North,Kilimani,VCT,Faith Based Organization,,,,Dagoretti North,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
23406,AFARSHANLE DISPENSARY,Wajir,Wajir,Wajir East,Wagberi,Dispensary,Ministry of Health,,,,Wajir East,,,,,,,,,,,,,,Yes,No,Operational,,,,,,,,,,,,,,,,,,,,,,
25435,Aflah Medical Centre,Lamu,Lamu,Lamu West,Hindi,Medical Clinic,Private Practice,,,,Lamu West,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
23567,Afnaan Health Care Services,Garissa,Garissa,Garissa,Township,Medical Clinic,Private Practice,,,,Garissa Township,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
18382,Afraha Maternity and Nursing Home,Nakuru,Nakuru,Nakuru East,Biashara,Primary care hospitals,Private Practice,,,,Nakuru Town East,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
13268,Africa Inland Church Dispensary,Wajir,Wajir,Wajir East,Wagberi,Dispensary,Faith Based Organization,,,,Wajir East,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,Y,,Y,,,,Y,,,,,,,,,
25539,Africa Inuka Hospital,Kisumu,Kisumu,Kisumu Central,Market Milimani,Secondary care hospitals,Private Practice,,,,Kisumu Central,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
20848,Africa Muslim Agency Dispensary,Isiolo,Isiolo,Garbatulla,Garba Tulla,Dispensary,Faith Based Organization,,,,Isiolo South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
20320,Africa Muslim Agency Dispensary (Kilifi),Kilifi,Kilifi,Kilifi North,Kibarani,Dispensary,Faith Based Organization,,,,Kilifi North,,,,,,,,,,,,,,No,No,Operational,,,,,,,Y,,Y,,,,Y,,,,,,,,,
20090,African Divine Church VCT,Nairobi,Nairobi,Westlands,Karura,VCT,Faith Based Organization,,,,Westlands,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
15034,Africana Mall Healthcare Limited,Turkana,Turkana,Turkana Central,Lodwar Township,Medical Clinic,Private Practice,,,,Turkana Central,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
23889,Africare Kisumu MEDANTA,Kisumu,Kisumu,Kisumu Central,Market Milimani,Medical Clinic,Private Practice,,,,Kisumu Central,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
23455,Africare Limited - (Nakuru),Nakuru,Nakuru,Nakuru East,Biashara,Medical Clinic,Private Practice,,,,Nakuru Town East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
22916,Africare Limited Embakasi Clinic,Nairobi,Nairobi,Embakasi South,Imara Daima,Medical Clinic,Private Practice,,,,Embakasi South,,,,,,,,,,,,,,No,Yes,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
13181,Africare Ltd (South C),Nairobi,Nairobi,Langata,South C,Medical Clinic,Private Practice,,,,Langata,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,,,,,,,,,,
22867,Africare Ltd Forts building,Nairobi,Nairobi,Kibra,Woodley/Kenyatta Golf Course,Medical Clinic,Private Practice,,,,Kibra,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
22639,Africare Ltd Karen Clinic,Nairobi,Nairobi,Langata,Karen,Medical Clinic,Private Practice,,,,Langata,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,Y,,Y,,,,,,,,,
23189,Africare Ltd Medica (TRM),Nairobi,Nairobi,Roysambu,Roysambu,Medical Clinic,Private Practice,,,,Roysambu,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
22866,Africare Ltd NHIF clinic,Nairobi,Nairobi,Kibra,Woodley/Kenyatta Golf Course,Medical Clinic,Private Practice,,,,Kibra,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,Y,,,,,,,,,,,
23732,Africare Ltd Thika Clinic,Kiambu,Kiambu,Thika Town,Township,Medical Clinic,Private Practice,,,,Thika Town,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
24781,Afrismart Group of Hospitals LTD,Nairobi,Nairobi,Embakasi South,Pipeline,Primary care hospitals,Private Practice,,,,Embakasi South,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
17335,Afwein Dispensary,Garissa,Garissa,Lagdera,Baraki,Dispensary,Ministry of Health,,,,Lagdera,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
19162,Afwene Clinic,Garissa,Garissa,Garissa,Galbet,Medical Clinic,Private Practice,,,,Garissa Township,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
10014,Afya  bora Medical Clinic mukurwe-ini,Nyeri,Nyeri,Mukurweini,Gikondi,Medical Clinic,Private Practice,,,,Mukurweini,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
17577,Afya Bora Clinic,Kirinyaga,Kirinyaga,Kirinyaga North/Mwea West,Thiba,Medical Clinic,Private Practice,,,,Mwea,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
11919,Afya Bora Clinic (Meru South),Tharaka Nithi,Tharaka Nithi,Chuka,Karingani,Medical Clinic,Private Practice,,,,Chuka/Igambang'ombe,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
