value_reference	name	uuid
17559	Amani Medical Clinic Magumu	448cc497-661a-470f-8542-f59fdae732ef
18718	Amani Medical Clinic(Meru)	418fb37d-a266-4e32-9141-4d2fec30a554
17561	Amani Medical Clinic(Murungaru)	cd3317d0-ee69-4b92-931c-c9e7e710469a
17624	Amani VCT	61a2e03f-eac0-4f42-913c-10f2bbf14b31
15797	Amase Dispensary	7207dda6-cd73-459a-a6d9-a1f5de93f697
13475	Amatierio Dispensary	767b966e-89c8-456f-8831-4c138108e9ea
17797	Amaya/Plesian Dispensary	bc3fa417-d0ff-4730-96cd-355a3ec2c249
11927	Ambalo Dispensary	ef3ab7fd-9072-45b2-870f-ac4d2a32d27d
13476	Ambira Sub-District Hospital	64086ddd-be43-4d06-b65f-fe786581839b
10027	Amboni Dispensary	4905dac3-2d64-4fbe-abca-3e2c78dd9ef3
14200	Amboseli Dispensary	c9c5d3ec-0bb8-47c7-ac37-0a8635898f8d
14201	Amboseli Serena Lodge Clinic	332a4411-82bf-4c6f-ba05-db4c2ec32025
16768	Amoya Dispensary	0d726c03-8bd8-4329-8b8d-12c9bde28e37
11928	Amugaa Health Centre	82aac53c-938f-4c8d-9596-22d5f292ca5e
15803	Apostles Clinic	d7723c90-2fa9-4b64-be47-9b6084f567ee
15804	Approved Dispensary	6e37b83a-2cc4-40da-9672-f6dbe5986d07
10035	Approved School (Thika)	d2f4b169-76ec-4772-8390-04c0c4a3e54b
11932	Approved School Dispensary (Machakos)	e7da34e4-512e-48e5-9813-b187777b8b73
12871	APTC Health Centre	6bde285c-bfc2-46b2-ac31-722f3bbbe762
11933	Apu Dispensary	fe5129e3-66a0-4675-add0-837c6f43b676
17572	Aqua Medical Clinic	388a8abd-4f38-43ce-b255-81e8cc62b12f
14210	Aquilla Farm Medical Clinic	5f7340d2-c010-4284-8703-883eb8ca45f9
13290	Arabia Health Center	529e44cd-fefa-4226-80fb-96d03af8e1dd
14211	Arama dispensary	26488393-1725-498a-bf99-22404e92df48
13291	Arbajahan Health Centre	3febb375-b901-4fb2-bfb0-191ab7695c80
16286	Arbajahan Nomadic Mobile Clinic	aff57b0a-5c39-4a0c-a932-70e941650d5f
13292	Arbaqueranso Dispensary	9a9341ef-6332-482f-826f-39b9a7078b08
10037	Arcade Medical Clinic	33446a5d-56b9-4763-a9d6-6f9ec1e8bb56
10036	Arcade Medical Clinic (Ruiru)	a37de429-e06c-4977-b875-135d30c88680
14212	Archers Post Health Centre	b7b86367-b21f-46dc-afeb-fd51285750d8
17977	Aren Medical Clinic	27cb0f6b-4b62-4980-86d3-937ca1f6c967
16810	Aresa Dispensary	211a5dc8-45db-4203-8eb5-bb615a26ae26
13293	Argane Dispensary	37865cb2-d3da-496c-986b-cf73fa29a9c2
18319	Arimi Clinic and Laboratory	e93ae255-a0fe-4b23-8a8a-96c4ef7d6724
14213	Arimi Dispensary	c61ac345-34b0-4dc0-ae01-b31ff1249f6e
13484	Arito Langi Dispensary	da3a0844-2f79-430e-bd1c-2477066c8e4d
14197	Arjijo Dispensary	00ca8769-23d0-4b47-80ed-b91fdb1453b4
13492	Awendo Sub-District Hospital	b960fab3-5127-40d8-9328-8a0ea7a4d843
18783	Axis Nursing Home	fd84ddd0-3b77-4baf-a64a-8ac398e0860f
13296	Ayan Clinic	6dfbda5b-ce2c-4083-9d04-7877bd7c44c0
11232	Azimio Medical Centre	2458e90e-9178-44ae-b66e-d7d7e33d1794
11938	Azimio Medical Clinic (Meru South)	fcfc4e6e-071a-4a2e-ac4e-257820162486
11939	B/Valley (PCEA) Clinic	7c837b70-a259-49bb-89b8-7486eb85d958
10043	Baari Health centre	f7ed5bc4-a9f0-4696-b597-cbefdc91e225
17273	Baawa Community Dispensary	93faf617-b5a3-4d5e-907c-bd2054ec5f62
12875	Babadogo (EDARP)	34ed8f1f-32dc-4371-b775-084d8fd8927a
12876	Babadogo Health Centre	d3272fab-8f95-4e30-9385-8586ab7ac6ec
12877	Babadogo Medical Health Centre	7b8061e8-40a7-44d4-ab30-8febaae94d97
16477	Badana Dispensary	a24efccf-1230-4d36-8d16-5317ffee16fb
18423	Badan-Rero Dispensary	9ece2fe2-b1d8-4f60-8d03-cae194201d0e
11940	Badassa Dispensary	a2edc128-b999-45aa-a420-681330a0455a
17586	Badilika VCT	18a9acda-2039-4c6f-b340-0611036fc1df
11233	Badria Medical Clinic	751ec83a-a59e-489c-86ab-487aed84245d
14222	Bagaria Dispensary	bde72dc3-2d3a-4e22-9e77-7fa9c966081f
17190	Bahai Dispensary	e43a1ee2-e2af-4438-947a-2b7cdf9e8558
11234	Bahari Medical Clinic	9b155a83-48ba-4b7d-8601-621283bbe9a1
18588	Bahari Medical Clinic Diani Beach	748968b4-a52b-4ddb-a476-ed82c2fdf4ea
12878	Bahati Clinic	6f599ff4-8545-4abf-9384-44693ab9861b
14223	Bahati Dispensary	21adc3d5-2816-4fb0-ab8d-ed0b0b31c61c
14224	Bahati District Hospital	5c9816c1-144a-4111-abb6-4a3c8c6b399c
12879	Bahati Health Centre	0e439cfc-b626-496d-910e-229f424ddd31
16202	Baraka Medical Clinic (Lamu)	7b3cff21-5941-4ac7-91fc-3a053bf04b04
10047	Baraka Medical Clinic (Muranga North)	7cbf1846-7b08-4bf0-97df-57b82f5cbc8c
14229	Baraka Medical Clinic (Pokot Central)	e60118a1-aa6f-4bb1-8bab-50744e0af298
17882	Baraka Medical Clinic (Runyenjes)	2b34df85-2367-4c01-9709-ada86d6a148c
16670	Baraka Medical Clinic (Samburu East)	c988c03d-cead-4da5-91bd-b0a3e8342966
16693	Baraka Medical Clinic (Trans Nzoia East)	11d176aa-011a-461c-98e6-4141744548c1
14231	Baraka Medical Clinic (Turkana Central)	39fee4d0-289c-4755-baa9-de099ec044d0
11245	Baraka Medical Clinic (Vikwatani)	dc19ccc0-c939-4934-b8b0-08c0ca3e6bf1
18224	Baraka Medical Clinic Kitengela	7df02f07-c9bd-4083-a53f-cf3a0e6e9d1c
11246	Baraka Medicalicare Clinic	eecc3cf4-f390-47d1-b779-c2c42850258a
11944	Baraka Nursing Home	d2ee5688-6397-4de1-ae9d-50f15f5b9688
17360	Barakeiywo Dispensary	9db4f552-ba98-47ba-8691-774cd947c836
16289	Baraki Dispensary	10775721-3635-4f9e-b586-63285b171270
11945	Barambate Dispensary	d35182a8-4009-4336-bada-5d9729ca90e7
14232	Baraton MCH	26087450-7aff-4b35-a901-176e912e3f08
11946	Barazani Medical Clinic	3d1b3066-7af8-4e5e-b394-280e25e51337
18396	Barding Dispensary	615088b0-bb81-4463-92e5-d809983a2f51
18381	Bargain Medical clinic	8920339b-2c39-4432-a5ac-83710208fc9c
11247	Bargoni Nys Dispensary	a8aa7b99-938b-4358-b558-2f6226a6649c
10048	Baricho Catholic Health Centre	0b16ee54-53d2-47c2-8477-a41b8433441c
11248	Baricho Dispensary (Malindi)	16232fc8-727d-43c6-aed7-8d59f006e992
10049	Baricho Health Centre	4a25e874-dcf5-4776-91fa-0779ab81d606
17352	Barnet Memorial Hospital	6d1fcbd5-e012-44b7-b353-381b4abdad4b
14234	Barotion (AIC) Dispensary	270a17e2-28e5-4304-89ff-20c52a3af74d
17432	Bethany Health Services Clinic	5ead5d10-95fe-4861-a89c-540d98cb33e2
12882	Bethel Clinic	ea9d601e-f4e9-49df-80b8-70ed9f175a7f
14249	Bethel Faith Dispensary	e81fa04f-9164-4115-84da-9820dcfe518a
10061	Bethel Medical Clinic	23767db7-abf9-4c0f-9e23-8369a7aeccea
14250	Bethelm Clinic	aa7a468d-1fa7-472b-b5a0-f410c39d4878
14251	Bethsaida (AIC) Clinic (Nakuru)	0773271a-b71b-42b2-bede-671255b3f648
10062	Bethsaida (PCEA) Dispensary (Nyandarua)	afd27e07-ac03-4cc3-adbb-8acfa4ae1057
10063	Bethsaida (PCEA) Dispensary (Nyeri)	4ea495fa-a948-4b9a-913b-ea437b104b2f
17777	Bethsaida CFW Bamako	f24ce536-a0f9-4576-81ae-57e390e89eec
10064	Bethsaida Clinic (Kirinyaga-Gathiga)	06ba0911-6f82-4251-8b93-9d01a7c32ab1
10065	Bethsaida Clinic (Kirinyaga-Thiba)	82be4697-3aba-4284-a446-48523b5c8ef4
10067	Bethsaida Medical Clinic (Gatundu)	27e87f26-61f1-4aa8-bfe9-de2b81fda692
11948	Bethsaida Medical Clinic (Kangundo)	ea437bbd-c0bc-440e-9bfc-c3ea7acd1d2d
11949	Bethwell Clinic	cd280b6a-c823-48bc-a396-434b2640dc25
14253	Better Health Services	3a73213f-7a2c-4145-b127-d2d1aa6d237a
11251	Better Off Knowing Stand Alone VCT Centre (Liverpool)	6d943cb3-4b9a-4050-b84d-8e8428928305
12883	Biafra Lions Clinic	d9f0dd30-9095-489d-8403-485d3fb8c6e2
12884	Biafra Medical Clinic	35e7fc17-d7c9-4201-8655-2b5ed6b63b2a
14221	Bible Faith Church Medical Services Dispensary	27561c77-ffa5-40eb-897e-0e22f7e17bb7
18532	Bidii Health Centre	d11a642f-798d-4493-aa7b-d78cdea2bc80
17900	Biftu Medical Clinic (Moyale)	532015ea-ab4d-4940-b4c5-aa60a699fc03
10070	Bigem Clinic	b3b74ffd-cf7a-4942-afed-e5845cc33819
14255	Bigot Medical Clinic	26043c50-032a-4d20-a982-b53011d531eb
11252	Biham Clinic	c768874c-7371-413e-ab78-fe611d193b19
16361	Bikeke Helth Centre	f65bffe4-84cf-4168-af5a-a5c0995d6f85
14264	Bondeni Dispensary (Trans Nzoia West)	3b703df8-2174-4bff-bd89-2ae43718c4a3
14265	Bondeni Maternity	97f365ec-31f2-4761-aa20-30ca504ab74f
13507	Bondo District Hospital	216b6467-2d92-4084-87e4-50ab48090183
13508	Bondo Medical clinic	e0ce7175-7526-45a7-96ac-c6617a268b43
18053	Bondo Nyironge Medical Clinic	6a71647f-11c9-4909-8d62-9ece9d9bbec6
18096	Bondo Town VCT	9ac40aa0-0458-4f2a-80af-827c2732acc0
18097	Bondo University Clinic	8c8a5b5e-7d2a-4efe-8963-7b615f336145
18787	Bonjoge Disabled group	914ee375-991f-4dd3-a9db-55f43a483ffe
17481	Bonjoge Dispensary	70ff457f-565a-45ef-9006-6c2a2a40624e
14266	Bonzina Medical Clinic	90cd1d2b-7a49-4e70-9735-4ada3b4ee4f6
10074	Boore Clinic	811eddd4-99a5-47df-a6f9-457e8f1121ad
13509	Bora Bora Clinic	83d7d880-1817-4e34-8cb1-81248ce64d7d
11260	Borabu Medical Clinic	d2a9bcaa-3503-4a13-ba4c-d4671c293a9c
13510	Borabu Nursing Home	cf294106-41d4-4414-923b-c4ce8337845d
14267	Borana Dispensary	35a3ae82-e60c-4779-a56c-c5a0882a9cdc
13511	Borangi Health Centre	4390597e-a412-4670-ac61-3a5358541274
13512	Border Clinic	facae6b4-344d-4d13-b33b-9fe40837b7e8
14268	Border Medical Care	b3dccbdd-d1a9-4b01-b5de-37225ff340f6
13310	Bore Hole 11 Health Centre	7c9ec984-73e6-4a9f-aec3-246c113880f7
17762	Borehole Five Dispensary	4322ff13-21e3-41d6-9c19-0cdb7923e87f
11952	Bori Dispensary	767ed9bf-fb96-44c3-a66d-0a1be10b824d
13513	Boro Dispensary	c44a3ff0-4c2f-41ab-88aa-2bf7eca3b281
14269	Borrowonin  Dispensary	cc1f0223-87c8-409d-ba1d-e6c0f6d7ac10
13514	Bosiango Health Centre	82b3b7bf-0c7c-4147-b1d9-f16f60cf0fd9
15828	Bungoma District Hospital	757cf9bc-6bc1-4716-8dcb-4267de2c0235
15829	Bungoma Medical Centre	0d5fba71-b6d3-41f3-85f1-65490c2c9a24
14272	Bungwet Dispensary	3c819685-edb2-4c93-aa59-c5565474b1a2
11263	Bura Dispensary (Taita )	335c7b26-c36c-4c68-8582-de5716eab1fb
13339	Bura District Hospital	c415e324-75a4-4694-9f38-946bb8679077
11264	Bura Health Centre	233c6513-0b20-44dc-87bc-658c535a8e22
18312	Bura Health Centre Taita	15a8f847-7550-4e21-a599-58565b018a33
11265	Bura Mission Clinic	2e9becd9-f11b-4c5d-8262-2b9dec47acfa
17075	Bura Nomadic	684908a9-7f1b-474b-a287-23b3ea37a189
17870	Burabor dispensary	04fa9c40-1ec6-4db5-91a1-bc3378164e46
13313	Burder Health Centre	32703197-a23e-4558-91ea-c65f6461d995
17035	Burduras Health Centre	3f84102b-ac8c-4faf-8489-2be67b84586f
14273	Burgei Dispensary	2daa285d-1100-4a08-9c05-0fc0226b64f9
10076	Burguret Dispensary	d15b527b-ff3b-48a8-ac6b-c6b5fa77bcdb
15830	Burinda Dispensary	00a7a179-5698-4884-805c-678e879669d8
17228	Burmayo Dispensary	bbc75209-ff58-4add-83ae-fe875a849dbb
14274	Burnt Forest Catholic Dispensary	2917e974-126b-4e28-a2e0-c0f0c276d4bf
16342	Burnt Forest Medical Clinic	5c63a01e-2c35-4198-863e-1ad4cde81047
16347	Burnt Forest RHDC (Eldoret East)	456ec789-bfb3-4c7d-aa92-ce61537d272d
18033	Burqa Medical Clinic (Moyale)	bf36cafa-fc5a-406f-beab-60f54e78b04a
16313	Buruburu Dispensary	6adf1c7b-6068-4d07-9081-394ec0a9e2b9
18273	Buruburu Friends Clinic	e6f611f9-abc7-465a-83ac-7bc52f762bd9
12888	Buruburu Medical Clinic	d876ad8f-267b-49d8-9c8d-c66b124a29d4
16722	Burutu Dspensary	ae50a616-c841-42af-97ea-8c100d80720b
11959	By Faith Medical Clinic	118bd4b8-0853-408f-9dfe-9fd2a5e1e342
10079	By Grace Services Clinic	40e7fac6-fe28-42bd-ae7f-ae9cf7798340
11267	C Kasunas Clinic	db5e4443-fc9d-4164-9c29-df778055b3aa
17763	California Medical Clinic	56d71aa0-5ad7-4f94-b814-0d093da06f06
17978	Calvary Family Health Care Centre	6f70749e-119d-495b-a362-57150a444678
17812	Calvary Medical Clinic	0af9b80b-b6fa-46c9-a111-4d1737015861
14278	Camp Brethren Medical Clinic	106b7079-a55c-48ff-a38c-091a238fb192
11269	Camp David Medical Clinic	9ac406a4-c937-4800-b0fa-dfb8e9540fe7
12889	Cana Family Life Clinic	e1599c2a-cd30-479f-aa0d-d09c8b5dc4bb
14279	Canaan (ACK) Medical Clinic	3761ea18-4ad1-4a77-a632-790ea9b5d839
15841	Canaan Clinic (Matete)	ba90221c-a7b3-4af8-820e-e8585acff2bf
12890	Canaan Health Providers(Nairobi)	b0139521-0d9e-4ef5-af34-126598ed3c8c
11270	Canaan Medical Clinic	dfc62bd6-d473-4a3e-9efd-4c839d917e65
10080	Canan Medical Clinic	1587f691-8f48-4085-b6a3-383ec5da1f56
16176	Care Medical Clinic	72fa5692-207d-4e97-95bc-2720280c2010
17563	Care Medical Clinic(Geta Bush)	f2f529f3-88fb-47f5-b9ae-22e056e5d511
17562	Care Medical Clinic(Munyaka)	5de22964-f306-4a08-80a4-f088f4bc4ea4
18006	Cargo Human Care Clinic	b6cb9a48-b2fe-4550-bc65-7ae02b76b148
10081	Caritas Mariah	3a6c0bf6-7535-4040-b52e-110fc67caba7
15842	Carol Afandi Clinic	2a36c648-9daf-4b58-a4be-43b6b3930c99
12891	Carolina For Kibera VCT	0141f0f9-cb76-4c9f-bc10-b769bdd41438
18043	Catholic Archdiocese of Mombasa CBHC & AIDS Relief Project (Mbungoni Satelite)	7f739373-ba0f-41e0-a1cb-8a0258f60b35
11960	Catholic Dispensary (Isiolo)	806ea28b-a017-4d79-be95-d9a2f41b45d7
11967	Charuru Dispensary	23715580-8550-4937-81e0-c6bebf11f7b6
16521	ChemiChemi Medical Clinic	9779ed98-5f54-42d6-9974-4bf8e7f4434d
16267	Chemin Clinic	da229300-a946-4188-8087-447954de1628
14319	Chemogondany Hospital	09e517a1-7566-4b72-b9ea-83d982add4d9
14320	Chemoiben Dispensary	abf5dc58-72c4-4e34-b086-65438e913cd2
17095	Chemoinoi Dispensary	b63e5ad2-86fa-4af0-b6b1-d1a5ae919963
17636	Chemokonja Dispensary	25539ab9-c454-44f9-94f4-c6da306edcc0
14321	Chemolingot District Hospital	2710e1f3-b698-43d9-a4ec-125eecde402f
14322	Chemomi Tea Dispensary	e01bf4ef-24dc-466b-b3c3-ae23f6978d67
14323	Chemosot Health Centre	78669bd9-9b09-4f34-8266-cd43b4e55f6c
18584	Chemses Dispensary	2830955c-355d-4fba-9174-49e4d2d1c272
16731	Chemsik Dispensary	d2d26c03-e961-422f-84aa-ae65680da4f6
14324	Chemundu Dispensary (Nandi Central)	7a8b88c3-03ff-4746-a934-deb5372c40d1
14325	Chemursoi Dispensary	fe28267b-2ef5-4ce4-be36-a90c5b97e93b
14326	Chemuswo Dispensary	11f77f65-33d7-41cd-b190-e12a843f6c06
18563	Chemwa Bridge dispensary	dfc96310-8559-4eea-acab-6c09fbed2957
17782	Chemwokter Dispensary	8668fee9-a6e7-432f-b84f-8193483e576c
18583	Chemworemwo Dispensary	ad36335f-af99-4f45-9e71-388eeaa88f6a
14327	Chemworor Health Center	a2abb2f7-fb8e-47ea-996e-37de3cb818e9
14328	Chepakundi Dispensary	c24dfba5-0229-470c-a503-eaf22a7c77fd
14329	Chepareria (SDA) Dispensary	8127a964-b43a-4478-95dd-6f3cafa3bf1f
14330	Chepareria Sub District Hospital	18b43cc7-a17d-4b5a-817c-7c2021f0a622
14331	Chepchabas Dispensary	1b4bd957-e60f-4412-acd4-ebaeb41533e5
14332	Chepchoina Dispensary	b649521d-8677-4932-a573-2f81edaf1f4a
14333	Chepcholiet Dispensary	cdbfbad2-f9cb-47b6-a072-14e6a0b204ef
17830	Cheptigit Dispensary	42cc5859-9afd-4440-976c-7864cf399c38
14371	Cheptil Dispensary	0f6d3ea1-e443-4708-a72c-81f0147d93a5
17013	Cheptilil Dispensary	f12a7445-4b68-4501-97a9-f7ad5fe604bb
17024	Cheptingwich Dispensary	6e21dba2-8d51-4b3d-9c44-efa1b4ed9027
14372	Cheptobot Dispensary	72e6ddb0-df20-44f7-95dd-dfafe09f617d
14373	Cheptongei Dispensary	1e16bb4e-b2b4-4229-89a1-ff7561ad9ce5
14374	Cheptuech Dispensary	3ffb8599-57d3-42a9-867a-604b69c5fb72
14375	Cheptuiyet Dispensary	abc9d750-326c-4976-94ef-5768c5fddab6
16701	Chepturnguny Dispensary	cbd8c22b-11f9-4f82-a424-9b51a118009b
16736	Chepturu Dispensary	48e7b1f0-d2e3-4889-9db9-338ea2037dce
14376	Chepwostuiyet Dispensary	3ec38cc1-c723-4ae7-be8a-8ce5e0b009aa
14377	Cheramei Dispensary	871cc70c-e97a-4816-9103-38bb0f93e87e
14378	Cherangan Dispensary	e0a2a22b-268b-4528-82a4-1c32f7b1bede
14379	Cherangany Health Centre	ffb9c7d2-64c5-4f01-ac9c-825a256cf3e1
14380	Cherangany Nursing Home	39476055-d8c2-40d9-817d-3771c24fbbb3
14381	Cherara Dispensary	ae9223ba-da9d-4518-ad7a-2f120719944b
17144	Cheronget	addd4955-4c05-46e8-a007-f6153e44c72d
16680	Chesetan Dispensary	bbd97207-262c-4ef1-ae51-9ec39a41741b
15856	Chesikaki  Dispensary	41546748-2ae0-4d8e-8afb-6fb11822733c
14382	Chesinende (ELCK) Dispensary	e559fb4d-9e94-4b0a-8e0b-8a2fc008354e
18582	Chesinende Dispensary	bcd3c9cc-fda5-4c78-898a-da540d228bb6
16728	Chesirimion Dispensary	adb2d34d-141f-48c5-be9d-6020281e5c6f
14383	Chesiyo Dispensary	ef14afc7-11be-4bb0-b1db-2bf064302029
14384	Chesoen Dispensary	ab493cb3-911a-464a-86ea-8183d965c822
14385	Chesoi Health Centre	5eefcb00-94b5-40f7-8cdd-11a31635a17f
16336	Chesoi Medical Clinic	df0b9c0c-b6c3-43be-9d54-706ca7a05942
18795	Church Army Medical Clinic	02f4a94b-0bca-457a-b924-1f063c085ba7
14392	Churo Dispensary	694ee7f4-30ee-41c7-9966-d58f61c88a24
13530	Chuthber Dispensary	cd095630-d050-4146-b109-ca2eb9aeafef
15861	Chwele Friends Dispensary	68f63dce-5495-498c-8256-cf4a17e3fc32
15860	Chwele Health Centre	ab9df44d-d666-4cdb-8ad6-a20e3dc6d518
10096	Ciagini Dispensary	179f540a-8919-4b76-8150-56e5a369f98c
11975	Ciama Medical Clinic	5311dcfb-2aed-4faf-b411-dabe9c97bd57
10097	Cianda Dispensary	f9f838ee-8db5-4d31-b3c4-f62e7c9ff101
18629	CID HQS Dispensary	1e5de241-0fc1-47b3-bc01-90ff0ed154cf
12896	CIDI Kayole Clinic	9bed36fc-782d-45b1-9b1e-ea38ce8e2413
12897	CIDI Mukuru Clinic	96050938-a10a-4cd5-98fb-592c4538f4e2
14393	Civil Servant DC Headquarter Dispensary	2595b490-3b65-4704-a52a-997141348ab9
17985	Civil Servants Clinic (Nakuru)	b551d9c7-6fdc-4988-8b9b-ac94d5e02894
12898	Clinitec Medical Services	055d425c-1855-4609-a694-a8747d65d6da
17388	Clinix Health Care	4b715ddb-3363-45d9-8983-b2cb21a2cc4d
18754	Clinix Health Care (Kibera)	c6a896a3-f6dd-4e8a-9ec2-c84037c0e6e8
14394	CMF Aitong Health Centre	09b3be44-9c1a-4a02-b655-067eefddf425
11289	Coast Province General Hospital	08074ffb-997c-467a-903e-34eb159e9de3
